Session,Latency,Phase,Participant,PC,SC
1,70,BL,1,0,0
2,395,BL,1,0,0
3,131,BL,1,0,0
4,224,BL,1,0,0
5,154,BL,1,0,0
6,255,BL,1,0,0
7,126,BL,1,0,0
8,480,BL,1,0,0
9,63,BL,1,0,0
10,534,BL,1,0,0
11,202,BL,1,0,0
12,183,INT,1,1,1
13,215,INT,1,1,2
14,135,INT,1,1,3
15,,INT,1,1,4
16,122,INT,1,1,5
17,,INT,1,1,6
18,88,INT,1,1,7
19,,INT,1,1,8
20,130,INT,1,1,9
21,259,INT,1,1,10
22,61,INT,1,1,11
23,,INT,1,1,12
24,600,INT,1,1,13
25,104,INT,1,1,14
26,240,INT,1,1,15
27,103,INT,1,1,16
28,195,INT,1,1,17
29,60,INT,1,1,18
30,,INT,1,1,19
31,365,INT,1,1,20
32,153,INT,1,1,21
33,171,INT,1,1,22
34,57,INT,1,1,23
35,143,INT,1,1,24
36,223,INT,1,1,25
1,142,BL,2,0,0
2,210,BL,2,0,0
3,319,BL,2,0,0
4,88,BL,2,0,0
5,208,BL,2,0,0
6,152,BL,2,0,0
7,403,BL,2,0,0
8,207,BL,2,0,0
9,266,BL,2,0,0
10,206,BL,2,0,0
11,600,BL,2,0,0
12,221,BL,2,0,0
13,130,BL,2,0,0
14,191,BL,2,0,0
15,600,BL,2,0,0
16,168,BL,2,0,0
17,211,BL,2,0,0
18,,BL,2,0,0
19,600,BL,2,0,0
20,114,INT,2,1,1
21,245,INT,2,1,2
22,119,INT,2,1,3
23,129,INT,2,1,4
24,124,INT,2,1,5
25,61,INT,2,1,6
26,288,INT,2,1,7
27,113,INT,2,1,8
28,179,INT,2,1,9
29,103,INT,2,1,10
30,229,INT,2,1,11
31,148,INT,2,1,12
32,600,INT,2,1,13
33,175,INT,2,1,14
34,43,INT,2,1,15
35,218,INT,2,1,16
36,150,INT,2,1,17
1,119,BL,3,0,0
2,498,BL,3,0,0
3,150,BL,3,0,0
4,393,BL,3,0,0
5,,BL,3,0,0
6,,BL,3,0,0
7,155,BL,3,0,0
8,203,BL,3,0,0
9,182,BL,3,0,0
10,238,BL,3,0,0
11,244,BL,3,0,0
12,,BL,3,0,0
13,95,BL,3,0,0
14,288,BL,3,0,0
15,600,BL,3,0,0
16,178,BL,3,0,0
17,600,BL,3,0,0
18,,BL,3,0,0
19,,BL,3,0,0
20,195,BL,3,0,0
21,161,BL,3,0,0
22,176,BL,3,0,0
23,334,BL,3,0,0
24,160,INT,3,1,1
25,135,INT,3,1,2
26,,INT,3,1,3
27,92,INT,3,1,4
28,240,INT,3,1,5
29,56,INT,3,1,6
30,254,INT,3,1,7
31,85,INT,3,1,8
32,109,INT,3,1,9
33,120,INT,3,1,10
34,50,INT,3,1,11
35,88,INT,3,1,12
36,136,INT,3,1,13
1,109,BL,4,0,0
2,600,BL,4,0,0
3,171,BL,4,0,0
4,272,BL,4,0,0
5,459,BL,4,0,0
6,180,BL,4,0,0
7,134,BL,4,0,0
8,210,BL,4,0,0
9,289,BL,4,0,0
10,138,BL,4,0,0
11,91,BL,4,0,0
12,189,BL,4,0,0
13,40,BL,4,0,0
14,171,BL,4,0,0
15,223,BL,4,0,0
16,304,BL,4,0,0
17,198,BL,4,0,0
18,,BL,4,0,0
19,355,BL,4,0,0
20,145,BL,4,0,0
21,600,BL,4,0,0
22,168,BL,4,0,0
23,166,BL,4,0,0
24,134,BL,4,0,0
25,120,BL,4,0,0
26,315,BL,4,0,0
27,98,INT,4,1,1
28,110,INT,4,1,2
29,190,INT,4,1,3
30,,INT,4,1,4
31,104,INT,4,1,5
32,600,INT,4,1,6
33,32,INT,4,1,7
34,114,INT,4,1,8
35,153,INT,4,1,9
36,236,INT,4,1,10
